Name,Category,Question,Correct Answer
MathQA_challenge_test,Challenging Math,"the ratio of two quantities is 10 : 7 . if each of the quantities is increased by 2 , their ratio changes to 15 : 11 then the greatest number is ? The options are: a ) 10 , b ) 12 , c ) 15 , d ) 16 , e ) 20",d
MathQA_challenge_test,Challenging Math,"average between two sets of numbers is closer to the set with morenumbers ? The options are: a ) 70 , b ) 80 , c ) 85 , d ) 90 , e ) 95",b
MathQA_challenge_test,Challenging Math,"a , b and c play a cricket match . the ratio of the runs scored by them in the match is a : b = 2 : 3 and b : c = 2 : 5 . if the total runs scored by all of them are 75 , the runs scored by b are ? a . 15 b . 18 The options are: a ) 22 , b ) 18 , c ) 99 , d ) 77 , e ) 24",b
MathQA_challenge_test,Challenging Math,"in the class of 50 students , 30 speak tamil and 40 speak telugu . what is the lowest possible number of students who speak both the languages ? The options are: a ) a ) 8 , b ) b ) 10 , c ) c ) 20 , d ) d ) 30 , e ) e ) 32",c
MathQA_challenge_test,Challenging Math,"if twice of a number divided by 3 d gives 20 as the remainder , and 5 times of the same number gives 32 as the remainder . what will be the value of d ? The options are: a ) 11 , b ) 12 , c ) 15 , d ) 14 , e ) 18",b
MathQA_challenge_test,Challenging Math,"3 people candidates contested an election and they received 1136 , 7636 and 11628 votes respectively . what is the percentage of the total votes did the winning candidate get ? The options are: a ) 40 % , b ) 45 % , c ) 57 % , d ) 58 % , e ) 60 %",c
MathQA_challenge_test,Challenging Math,"a and b started a business jointly a ' s investment was thrice the investment of b and the period of his investment was two times the period of investment of b . if b received rs . 4000 as profit , then their total profit is The options are: a ) 23477 , b ) 28000 , c ) 28877 , d ) 1987 , e ) 1771",b
MathQA_challenge_test,Challenging Math,"the general hospital is comprised of , 3 / 5 pediatricians , 1 / 4 surgeons , and the rest are gp doctors . if 1 / 4 of the surgeons are heart surgeons , and the hospital doubles the number of gp doctors , what proportion of the hospital are now heart surgeons ? The options are: a ) 2 / 5 , b ) 1 / 4 , c ) 1 / 2 , d ) 1 / 24 , e ) 1 / 25",d
MathQA_challenge_test,Challenging Math,"45 pupil , out of them 12 in debate only and 22 in singing only . then how many in both ? The options are: a ) 9 , b ) 10 , c ) 11 , d ) 12 , e ) 13",c
MathQA_challenge_test,Challenging Math,"of the 75 cars on a car lot , 45 have air - conditioning , 35 have power steering , and 12 have both air - conditioning and power steering . how many of the cars on the lot have neither air - conditioning nor power steering ? The options are: a ) 7 , b ) 8 , c ) 10 , d ) 15 , e ) 18",a
MathQA_challenge_test,Challenging Math,"a corporation 5 times its annual bonus to 10 of its employees . what percent of the employees ’ new bonus is the increase ? The options are: a ) 12 % , b ) 18 % , c ) 80 % , d ) 20 % , e ) 15 %",c
MathQA_challenge_test,Challenging Math,"a certain tests consists 8 sections with 25 questions , numbered from 1 to 25 , in each section . if a student answered all of the even - numbered questions correctly and 3 / 4 of the odd - numbered questions correctly , what was the total number of questions he answered correctly ? a . 150 b . 172 c . 174 d . 175 e . 176 The options are: a ) 174 , b ) 150 , c ) 180 , d ) 175 , e ) 190",a
MathQA_challenge_test,Challenging Math,"a no . when divided by 221 gives a remainder 43 , what remainder will beobtained by dividing the same number 19 ? The options are: a ) 3 , b ) 6 , c ) 9 , d ) 11 , e ) 15",c
MathQA_challenge_test,Challenging Math,"tea worth rs . 126 per kg are mixed with a third variety in the ratio 1 : 1 : 2 . if the mixture is worth rs . 153 per kg , the price of the third variety per kg The options are: a ) 175.59 , b ) 175.5 , c ) 175.57 , d ) 175.52 , e ) 175.11",c
MathQA_challenge_test,Challenging Math,"today jim is twice as old as fred , and sam is 4 years younger than fred . 4 years ago jim was 8 times as old as sam . how old is jim now ? The options are: a ) 8 , b ) 12 , c ) 16 , d ) 20 , e ) 24",d
MathQA_challenge_test,Challenging Math,"a store sells 2 kinds of jelly beans mixes ( a and b ) both made up of red and yellow beans . if b contains 20 % more red beans than a but 10 % fewer yellow beans . and jar a contains twice as many red beans as yellow by what percent is the number of beans in jar b larger than the number in jar a The options are: a ) 5 , b ) 6 , c ) 8 , d ) 9 , e ) 10",e
MathQA_challenge_test,Challenging Math,"find the greatest common factor ( gfc ) of 24 , 40 and 60 . The options are: a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",d
MathQA_challenge_test,Challenging Math,"1394 x 1394 The options are: a ) 1943236 , b ) 1981709 , c ) 18362619 , d ) 2031719 , e ) none of these",a
MathQA_challenge_test,Challenging Math,"a and b start a business jointly . a invests rs 16000 for 8 month and b remains in the business for 4 months . out of total profit , b claims 2 / 7 of the profit . how much money was contributed by b ? The options are: a ) 12800 , b ) 13000 , c ) 11500 , d ) 12500 , e ) 12000",a
MathQA_challenge_test,Challenging Math,"the second of two numbers is two less than 3 times the first . find the numbers if there sum is 82 . The options are: a ) 7 - 19 , b ) 8 - 20 , c ) 10 - 16 , d ) 15 - 9 , e ) 21 - 61",e
MathQA_challenge_test,Challenging Math,"in the standard formulation of a flavored drink the ratio by volume of flavoring to corn syrup to water is 1 : 12 : 30 . in the ` ` sport ' ' formulation , the ratio of flavoring to corn syrup is three times as great as in the standard formulation , and the ratio of flavoring to water is half that of the standard formulation . if a large bottle of the ` ` sport ' ' formulation contains 3 ounces of corn syrup , how many ounces of water does it contain ? The options are: ['a ) 45', 'b ) 50', 'c ) 55', 'd ) 60', 'e ) 63']",a
MathQA_challenge_test,Challenging Math,"a train moves with a speed of 108 kmph . its speed in metres per second is : The options are: a ) 10.8 , b ) 18 , c ) 30 , d ) 38.8 , e ) none of these",c
MathQA_challenge_test,Challenging Math,"by how much is 50 % of 250 greater than 25 % of 400 . The options are: a ) 25 , b ) 26 , c ) 29 , d ) 39 , e ) 26",b
MathQA_challenge_test,Challenging Math,"in a rectangular coordinate system , if a line passes through the points ( - 15 , - 18 ) , ( 1522 ) and ( x , 2 ) then what is the value of x ? The options are: a ) - 2 , b ) - 1 , c ) 0 , d ) 1 , e ) 2",c
MathQA_challenge_test,Challenging Math,"running at the same constant rate , 100 identical machines can produce a total of 500 coffee bar per minute . at this rate , how many bottles could 20 such machines produce in 2 minutes ? The options are: a ) 110 , b ) 220 , c ) 330 , d ) 200 , e ) 789",d
MathQA_challenge_test,Challenging Math,"two ants , arthur and amy , have discovered a picnic and are bringing crumbs back to the anthill . amy makes twice as many trips and carries one and a half times as many crumbs per trip as arthur . if arthur carries a total of b crumbs to the anthill , how many crumbs will amy bring to the anthill , in terms of b ? The options are: a ) b / 2 , b ) b , c ) 3 b / 2 , d ) 2 b , e ) 3 b",e
MathQA_challenge_test,Challenging Math,"a certain number of badges were distributed among a class of students . the student who got 1 / 6 th of the total number of badges actually got 5 times the average number of badges the others got ! how many students were there in the class ? The options are: a ) 30 , b ) 26 , c ) 11 , d ) 31 , e ) 32",b
MathQA_challenge_test,Challenging Math,"tough and tricky questions : work / rate problems . a group of 4 junior lawyers require 7 hours to complete a legal research assignment . how many hours would it take a group of 3 legal assistants to complete the same research assignment assuming that a legal assistant works at two - thirds the rate of a junior lawyer ? source : chili hot gmat The options are: a ) 14 , b ) 10 , c ) 9 , d ) 6 , e ) 5",a
MathQA_challenge_test,Challenging Math,"the difference of a larger number and a smaller number is 6 . the sum of the larger number and twice the smaller is 15 . what is the larger number ? The options are: a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 11",c
MathQA_challenge_test,Challenging Math,"the diameters of two spheres are in the ratio 1 : 2 what is the ratio of their surface area ? The options are: ['a ) 1 : 0', 'b ) 1 : 4', 'c ) 1 : 6', 'd ) 1 : 2', 'e ) 1 : 1']",b
MathQA_challenge_test,Challenging Math,"there are 3 prizes to be distributed among 10 students . if no students gets more than one prize , then this can be done in ? The options are: a ) 10 , b ) 45 , c ) 95 , d ) 120 , e ) none of these",d
MathQA_challenge_test,Challenging Math,"a starts business with rs . 3500 and after 5 months , b joins with a as his partner . after a year , the profit is divided in the ratio 2 : 3 . what is b ' s contribution in the capital ? The options are: a ) rs . 9228 , b ) rs . 9129 , c ) rs . 9120 , d ) rs . 9000 , e ) rs . 1922",d
MathQA_challenge_test,Challenging Math,"how many of the positive factors of 24 are not factors of 27 The options are: a ) 2 , b ) 6 , c ) 4 , d ) 1 , e ) 5",b
MathQA_challenge_test,Challenging Math,"a bag contains 7 green and 8 white balls . if two balls are drawn simultaneously , the probability that both are of the same colour is - . The options are: a ) 7 / 18 , b ) 7 / 19 , c ) 7 / 11 , d ) 7 / 12 , e ) 7 / 15",e
MathQA_challenge_test,Challenging Math,"a is a working partner and b is a sleeping partner in a business . a puts in 20,000 and b 90,000 . a gets 20 % of the profit for managing the business , and the rest is divided in proportion to their capitals . find the share of b in profit of 11000 . The options are: a ) 3500 , b ) 7200 , c ) 6800 , d ) 4800 , e ) none of these",b
MathQA_challenge_test,Challenging Math,"a carpenter constructed a rectangular sandbox with a capacity of 10 cubic feet . if the carpenter were to make a similar sandbox twice as long , twice as wide , and twice as high as the first sandbox , what would be the capacity , in cubic feet , of the second sandbox ? The options are: a ) 20 , b ) 40 , c ) 60 , d ) 80 , e ) 100",d
MathQA_challenge_test,Challenging Math,"when tossed , a certain coin has equal probability of landing on either side . if the coin is tossed 4 times , what is the probability that it will land twice on heads and twice tails ? The options are: a ) 1 / 8 , b ) 1 / 4 , c ) 1 / 16 , d ) 1 / 32 , e ) 1 / 2",c
MathQA_challenge_test,Challenging Math,"the circumferences of the fore and hind - wheels of a carriage are 2 2 / 5 and 3 3 / 7 meters respectively . a chalk mark is put on the point of contact of each wheel with the ground at any given moment . how far will the carriage have travelled so that their chalk marks may be again on the ground at the same time ? The options are: a ) 18 metres , b ) 16 metres , c ) 38 metres , d ) 42 metres , e ) 24 metres",e
MathQA_challenge_test,Challenging Math,"if 5 ^ 5 × 5 ^ x = ( 125 ) ^ 4 , then what is the value of x ? The options are: a ) 2 , b ) 3 , c ) 5 , d ) 6 , e ) 7",e
MathQA_challenge_test,Challenging Math,"machine a produces 100 parts thrice as fast as machine b does . machine b produces 100 parts in 30 minutes . if each machine produces parts at a constant rate , how many parts does machine a produce in 6 minutes ? The options are: a ) 20 , b ) 80 , c ) 40 , d ) 60 , e ) 50",d
MathQA_challenge_test,Challenging Math,"a train 150 m long passes a km stone in 15 seconds and another train of the same length travelling in opposite direction in 8 seconds . the speed of the second train is The options are: a ) 60 kmph , b ) 66 kmph , c ) 72 kmph , d ) 99 kmph , e ) 89 kmph",d
MathQA_challenge_test,Challenging Math,"what is the max number of rectangular boxes , each measuring 5 inches by 2 inches by 7 inches , that can be packed into a rectangular packing box measuring 15 inches by 20 inches by 35 inches , if all boxes are aligned in the same direction ? The options are: a ) 200 , b ) 350 , c ) 100 , d ) 150 , e ) 120",d
MathQA_challenge_test,Challenging Math,"at a wedding reception , 125 guests ate chicken and 75 guests ate beef . if exactly 100 guests ate only one of the two types of meat , how many guests ate both types of meat ? The options are: a ) 5 , b ) 100 , c ) 7 , d ) 4 , e ) 50",e
MathQA_challenge_test,Challenging Math,"the average temperature for monday , tuesday and wednsday is 36.3 degrees c . the average temperature for tuesday , wednesday and thursday is 36.7 degrees c . if monday ’ s temperature recorded as 39 degrees c , find the thursday ’ s temperature ? The options are: a ) 60.2 degrees c , b ) 50.2 degrees c , c ) 40.2 degrees c , d ) 70.2 degrees c , e ) none of these",c
MathQA_challenge_test,Challenging Math,"a boy goes to his school from his house at a speed of 3 km / hr and returns at a speed of 2 km / hr . if he takes 5 hours in going and coming . the distance between his house and school is : The options are: a ) 4.5 km , b ) 5.5 km , c ) 6 km , d ) 7 km , e ) none",c
MathQA_challenge_test,Challenging Math,"how many kilograms of sugar costing rs . 9 per kg must be mixed with 27 kg of sugar costing rs . 7 per kg so that there may be a gain of 10 % by selling the mixture at rs . 9.24 per kg ? The options are: a ) 33 , b ) 39 , c ) 38 , d ) 63 , e ) 01",d
MathQA_challenge_test,Challenging Math,"the cost of one photocopy is $ 0.02 . however , a 25 % discount is offered on orders of more than 100 photocopies . if saran and david have to make 80 copies each , how much will each of them save if they submit a single order of 160 copies ? The options are: a ) $ 0.32 , b ) $ 0.40 , c ) $ 0.45 , d ) $ 0.48 , e ) $ 0.54",b
MathQA_challenge_test,Challenging Math,"a starts business with rs . 3500 and after 5 months , b joins with a as his partner . after a year , the profit is divided in the ratio 2 : 3 . what is b ' s contribution in the capital The options are: a ) rs 9000 , b ) rs 7000 , c ) rs 5000 , d ) rs 4000 , e ) none of these",a
MathQA_challenge_test,Challenging Math,"a cistern can be filled by a tap in 5 hours while it can be emptied by another tap in 10 hours . if both the taps are opened simultaneously then after how much time will the cistern get filled ? The options are: a ) 20 hr , b ) 10 hr , c ) 5 hr , d ) 4 hr , e ) 15 hr",b
MathQA_challenge_test,Challenging Math,"the mall charges 50 cents for the first hour of parking and $ 3 for each additional hour until the customer reaches 4 hours , after that the parking fee is $ 1 per hour . if a certain customer parked his in the mall for 7 hours and 30 minutes , how much is he going to pay ? The options are: a ) $ 11.5 . , b ) $ 12 . , c ) $ 13 . , d ) $ 14.5 , e ) $ 15 .",c
MathQA_challenge_test,Challenging Math,"the number of students in each section of a school is 24 . after admitting new students , 3 new sections were started . now , the total number of sections is 16 and there are 21 students in each section . the number of new students admitted is : The options are: a ) 12 , b ) 42 , c ) 24 , d ) 28 , e ) 26",c
MathQA_challenge_test,Challenging Math,"simplify : 81 x 81 + 68 x 68 - 2 x 81 x 68 . The options are: a ) 169 , b ) 159 , c ) 189 , d ) 179 , e ) 219",a
MathQA_challenge_test,Challenging Math,"a parallelogram has a base that is four time the size of it ' s height . the total area of this parallelogram is 2,304 sq ft . what is the height of the parallelogram ? The options are: ['a ) 19', 'b ) 23', 'c ) 24', 'd ) 16', 'e ) 17']",c
MathQA_challenge_test,Challenging Math,"what is the remainder when the number w = 14 ^ 2 * 15 ^ 8 is divided by 5 ? The options are: a ) 0 , b ) 1 , c ) 2 , d ) 4 , e ) 5",a
MathQA_challenge_test,Challenging Math,"the product of two numbers is 2028 and their h . c . f is 13 . the number of such pairs is : The options are: a ) 1 , b ) 2 , c ) 3 , d ) 4 , e ) 5",b
MathQA_challenge_test,Challenging Math,"if the average marks of 3 batches of 55 , 60 and 45 students respectively is 40 , 62 , 58 , then the average marks of all the students is The options are: a ) 54.48 , b ) 53.31 , c ) 54.6 , d ) 54.58 , e ) none of these",b
MathQA_challenge_test,Challenging Math,"in an election contested by two parties , party d secured 12 % of the total votes more than party r . if party r got 132000 votes , by how many votes did it lose the election ? The options are: a ) 240000 , b ) 300000 , c ) 168000 , d ) 36000 , e ) 24,000",d
MathQA_challenge_test,Challenging Math,"a multiple choice test consists of 4 questions , and each question has 5 answer choices . in how many e ways can the test be completed if every question is unanswered ? The options are: a ) 24 , b ) 120 , c ) 625 , d ) 720 , e ) 1024",c
MathQA_challenge_test,Challenging Math,"a and b undertake to do a piece of work for $ 600 . a alone can do it in 6 days while b alone can do it in 8 days . with the help of c , they finish it in 3 days . find the share of a ? The options are: a ) $ 100 , b ) $ 150 , c ) $ 300 , d ) $ 250 , e ) $ 350",c
MathQA_challenge_test,Challenging Math,"the value of x + x ( xx ) when x = 7 The options are: a ) a ) 350 , b ) b ) 346 , c ) c ) 358 , d ) d ) 336 , e ) e ) 364",a
MathQA_challenge_test,Challenging Math,"find the area of a rhombus one side of which measures 20 cm and one diagonal is 24 cm ? The options are: a ) 320 cm 2 , b ) 280 cm 2 , c ) 384 cm 2 , d ) 290 cm 2 , e ) 350 cm 2",c
MathQA_challenge_test,Challenging Math,"you need to print a document of the area 216 sq cm . condition is 3 cm margin is to be left at both top & bottom and 2 cm at the sides . what is the optimized size of your paper ? The options are: ['a ) 60 sq . cm', 'b ) 70 sq . cm', 'c ) 95 sq . cm', 'd ) 80 sq . cm', 'e ) 90 sq . cm']",e
MathQA_challenge_test,Challenging Math,"a number , when 35 is subtracted from it , reduces to its 80 percent . what is 4 - fifth of that number ? The options are: a ) 130 , b ) 155 , c ) 490 , d ) 140 , e ) 160",d
MathQA_challenge_test,Challenging Math,"from a pack of 52 cards , two cards are drawn together at random . what is the probability that the one is heart and other two is diamond ? The options are: a ) 238 / 5525 , b ) 176 / 5534 , c ) 253 / 5523 , d ) 234 / 5525 , e ) 1 / 5525",d
MathQA_challenge_test,Challenging Math,"the sector of a circle has radius of 14 cm and its perimeter 50 cm . find its central angel ? The options are: a ) 180 o , b ) 225 o , c ) 270 o , d ) 150 o , e ) 90 o",e
MathQA_challenge_test,Challenging Math,"a certain list consists of 21 different numbers . if n is in the list and n is 4 times the average ( arithmetic mean ) of the other 20 numbers in the list , then n is what fraction q of the sum of the 21 numbers in the list ? The options are: a ) 1 / 20 , b ) 1 / 6 , c ) 1 / 5 , d ) 4 / 21 , e ) 5 / 21",b
MathQA_challenge_test,Challenging Math,"the length and breadth of a rectangular courtyard is 75 m and 32 m . find the cost of leveling it at the rate of $ 3 per m 2 . also , find the distance covered by a boy to take 4 rounds of the courtyard . The options are: a ) 3573 , b ) 3455 , c ) 8600 , d ) 7000 , e ) 7200",e
MathQA_challenge_test,Challenging Math,"a man and a boy complete a work together in 24 days . if for the last 6 days man alone does the work then it is completed in 26 days . how long the boy will take to complete the work alone ? The options are: a ) 72 days , b ) 20 days , c ) 24 days , d ) 36 days , e ) 34 days",a
MathQA_challenge_test,Challenging Math,"mathew is planning a vacation trip to london next year from today for 5 days , he has calculated he would need about $ 3000 for expenses , including a round - trip plane ticket from l . a to london . he nets around $ 1500 monthly in gross income , after all bills are paid , he is left with about $ 350 each month free for whatever he desires . how much money would mathew need to evenly save from his $ 350 to have $ 3000 in his bank within 12 months ? The options are: a ) $ 240 , b ) $ 350 , c ) $ 217 , d ) $ 250 , e ) $ 340",d
MathQA_challenge_test,Challenging Math,"3 pounds of 05 grass seed contain 1 percent herbicide . a different type of grass seed , 20 , which contains 20 percent herbicide , will be mixed with 3 pounds of 05 grass seed . how much grass seed of type 20 should be added to the 3 pounds of 05 grass seed so that the mixture contains 15 percent herbicide ? The options are: a ) 3 , b ) 3.75 , c ) 4.5 , d ) 8.4 , e ) 9",d
MathQA_challenge_test,Challenging Math,"if f ( f ( n ) ) + f ( n ) = 2 n + 3 and f ( 0 ) = 1 , what is the value of f ( 2012 ) ? The options are: a ) 222 , b ) 2787 , c ) 2013 , d ) 2778 , e ) 10222",c
